Country,Code,Federation
Afghanistan,AFG,Afghanistan Football Federation
Albania,ALB,Albanian Football Association
Algeria,ALG,Algerian Football Federation
American Samoa,ASA,Football Federation American Samoa
Andorra,AND,Andorran Football Federation
Angola,ANG,Angolan Football Federation
Anguilla,AIA,Anguilla Football Association
Antigua and Barbuda,ATG,Antigua and Barbuda Football Association
Argentina,ARG,Argentine Football Association
Armenia,ARM,Football Federation of Armenia
Aruba,ARU,Aruba Football Federation
Australia,AUS,Football Australia
Austria,AUT,Austrian Football Association
Azerbaijan,AZE,Association of Football Federations of Azerbaijan
Bahamas,BAH,Bahamas Football Association
Bahrain,BHR,Bahrain Football Association
Bangladesh,BAN,Bangladesh Football Federation
Barbados,BRB,Barbados Football Association
Belarus,BLR,Football Federation of Belarus
Belgium,BEL,Royal Belgian Football Association
Belize,BLZ,Football Federation of Belize
Benin,BEN,Benin Football Federation
Bermuda,BER,Bermuda Football Association
Bhutan,BHU,Bhutan Football Federation
Bolivia,BOL,Bolivian Football Federation
Bosnia and Herzegovina,BIH,Football Association of Bosnia and Herzegovina
Botswana,BOT,Botswana Football Association
Brazil,BRA,Brazilian Football Confederation
British Virgin Islands,VGB,British Virgin Islands Football Association
Brunei,BRU,National Football Association of Brunei Darussalam
Bulgaria,BUL,Bulgarian Football Union
Burkina Faso,BFA,Burkinabé Football Federation
Burundi,BDI,Football Federation of Burundi
Cambodia,CAM,Football Federation of Cambodia
Cameroon,CMR,Cameroonian Football Federation
Canada,CAN,Canadian Soccer Association
Cape Verde,CPV,Cape Verdean Football Federation
Cayman Islands,CAY,Cayman Islands Football Association
Central African Republic,CTA,Central African Football Federation
Chad,CHA,Chadian Football Federation
Chile,CHI,Football Federation of Chile
China,CHN,Chinese Football Association
Chinese Taipei,TPE,Chinese Taipei Football Association
Colombia,COL,Colombian Football Federation
Comoros,COM,Comoros Football Federation
Congo,CGO,Congolese Football Federation
Cook Islands,COK,Cook Islands Football Association
Costa Rica,CRC,Costa Rican Football Federation
Croatia,CRO,Croatian Football Federation
